GRAPH,NODE_DISTANCE,STARTING_NODE,ENDING_NODE,INTENSITY_
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Uber Technologies Inc,1.5
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Nn Inc,0.8
Coca-Cola Company,1,Coca-Cola Company,Dr Pepper Snapple Group Inc,0.6
Pepsico Inc,1,Pepsico Inc,Atandt Inc,3.2
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Alnylam Pharmaceuticals Inc,0.7
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Fair Isaac Corp,0.5
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,General Motors Limited,7.8
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Citigroup Inc,90.7
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Goldman Sachs Group Inc,3.4
Coca-Cola Company,2,Philip Morris International Inc,Oci Partners Lp,4.4
Microsoft Corp,2,Adobe Inc,Bank Of America Corp,0.5
Microsoft Corp,2,Amazon Com Inc,Bank Of America Corp,69.3
Microsoft Corp,2,Atandt Inc,Canadian Imperial Bank Of Commerce,0.5
Goldman Sachs Group Inc,2,Federal National Mortgage Association,Bank Of America Corp,0.7
Pepsico Inc,2,Jp Morgan Chase And Co,Berkshire Hathaway Inc,1.9
Pepsico Inc,2,Wells Fargo And Company,Intel Corp,1.4
Jp Morgan Chase And Co,2,Federal National Mortgage Association,Gse Systems Inc,0.9
Jp Morgan Chase And Co,2,Federal National Mortgage Association,Credit Suisse Group,1.3
Coca-Cola Company,2,Intercontinental Exchange,Pgande Corp,8.1
Coca-Cola Company,2,Intercontinental Exchange,Bnp Paribas,6.3
Microsoft Corp,2,Us Bancorp,Regions Financial Corp,0.8
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Dowdupont Inc,18
Goldman Sachs Group Inc,3,Bank Of America Corp,Fitbit Inc,2.2
Goldman Sachs Group Inc,3,Mastercard Inc,Amazon Com Inc,1.8
Alphabet Inc,3,Berkshire Hathaway Inc,Goldman Sachs Group Inc,0.8
Alphabet Inc,3,Facebook Inc,International Business Machines Corp,2.7
Morgan Stanley International Holdings Inc,3,Wells Fargo And Company,Prudential Financial Inc,0.6
Alphabet Inc,3,Goldman Sachs Group Inc,Bank Of New York Mellon Corp,0.7
Alphabet Inc,3,Goldman Sachs Group Inc,Maiden Holdings Ltd,1
Goldman Sachs Group Inc,3,Bank Of America Corp,Visa Inc,3.7
Goldman Sachs Group Inc,3,Jp Morgan Chase And Co,Ambac Financial Group Inc,1.6
Microsoft Corp,3,Hsbc Holdings Plc,Jp Morgan Chase And Co,2.6
Alphabet Inc,3,Rait Financial Trust,Jp Morgan Chase And Co,0.7
Microsoft Corp,3,Bank Of America Corp,Countrywide Plc,1.5
Goldman Sachs Group Inc,3,Bank Of America Corp,Google,14.7
Microsoft Corp,3,Bank Of America Corp,Bank Of Nova Scotia,1.8
Pepsico Inc,3,Jp Morgan Chase And Co,Rockwell Automation Inc,4.1
Microsoft Corp,3,Bank Of America Corp,Mdc Partners Inc,1.1
Morgan Stanley International Holdings Inc,3,Jp Morgan Chase And Co,City Office Reit Inc,0.6
Alphabet Inc,1,Alphabet Inc,Ebay Inc,22.1
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Bank Of America Corp,11.2
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Msci Inc,6.2
Alphabet Inc,2,Sandp Global Inc,Citigroup Inc,0.9
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Twitter Inc,1
Microsoft Corp,2,Atandt Inc,Cbs Corp,0.8
Microsoft Corp,2,Cisco Systems Inc,Moodys Corp /De/,0.9
Pepsico Inc,2,Jp Morgan Chase And Co,Nantkwest Inc,0.8
Pepsico Inc,2,Wells Fargo And Company,Cbs Corp,3.1
Microsoft Corp,2,International Business Machines Corp,Columbia Sportswear Co,0.8
